"","siteid","lat","long","ecoreg","era","area","doc","no3","tn","tp","temp","precip","elev","forest","wetland","urban","ag","roads"
"553","FW08KS032",38.37939188,-96.21420481,"9","Year2008",4714.680176,2.68,0.10826,1.04,231.5338,12.7,888,424.732,2.998,1.024,3.92,27.885,1.141
"554","FW08KS033",37.97450198,-101.7879598,"9","Year2008",65408.30078,3.25,0.68561,1.563,169.1581,11.7,405,1805.41,14.724,1.177,2.673,7.665,0.823
"555","FW08KS036",37.99322599,-99.32134205,"9","Year2008",71565,2.98,1.21562,1.714,32.6069,12.9,611,1725.93,13.471,1.124,2.816,12.811,0.755
"556","FW08KS037",39.72059013,-99.22212862,"9","Year2008",462.1359863,7.62,1.74948,2.6,822.425,11,596,635.161,0.625,1.813,6.216,43.638,1.685
"557","FW08KS038",39.28796786,-97.41126277,"9","Year2008",9.248160362,1.84,1.03809,1.638,271.6356,12.5,766,425.062,3.16,0,3.199,20.296,1.18
"558","FW08KS039",39.01570904,-95.84061299,"9","Year2008",8.701910019,2.02,0.05471,1.184,342.0175,12.5,895,346.144,19.649,0.279,4.535,41.859,1.798
"559","FW08KS040",37.85231964,-97.94179319,"9","Year2008",2204.790039,3.64,1.10036,2.037,171.7125,13.1,746,538.872,1.216,1.027,4.527,52.588,1.404
"560","FW08KS042",39.55416589,-99.74415093,"9","Year2008",604.0759888,1.91,0.58938,0.939,249.031,11.3,556,799.659,0.055,1.277,3.202,75.61,1.188
"561","FW08KS043",38.70640167,-95.80726844,"9","Year2008",331.5849915,3.88,0,0.586,78.4888,12.5,917,363.822,5.928,0.611,5.166,35.638,1.51
"562","FW08KS044",38.66455303,-98.06276981,"9","Year2008",19649.59961,7.02,0,1.019,115.0988,12.3,703,888.634,0.267,0.441,3.702,52.307,1.074
"563","FW08KS045",37.12028426,-98.98489094,"9","Year2008",533.2340088,2.86,0.06863,0.319,29.5988,14.1,635,615.326,0.726,0.508,3.037,17.49,0.882
"564","FW08KS047",37.50351751,-95.15264854,"9","Year2008",391.3649902,5.08,0.27065,0.761,110.8194,13.7,1055,294.061,9.448,0.488,4.402,79.15,1.416
"565","FW08KS048",38.51547894,-96.45484192,"9","Year2008",20.07509995,1.23,0.13274,0.256,45.5163,12.4,873,432.107,0.726,0,1.699,1.479,0.732
"566","FW08KS048",38.51547894,-96.45484192,"9","Year2008",20.07509995,1.23,0.13274,0.256,45.5163,12.4,873,432.107,0.726,0,1.699,1.479,0.732
"567","FW08KS048",38.51547894,-96.45484192,"9","Year2008",20.07509995,1.18,0.03546,0.139,46.8813,12.4,873,NA,NA,NA,NA,NA,NA
"568","FW08KS048",38.51547894,-96.45484192,"9","Year2008",20.07509995,1.18,0.03546,0.139,46.8813,12.4,873,NA,NA,NA,NA,NA,NA
"569","FW08KS055",39.05435221,-95.49074362,"9","Year2008",142591,4.32,0,1.561,337.655,12.5,945,740.055,1.842,0.828,4.145,51.199,1.055
"570","FW08KS056",37.66231809,-97.75767731,"9","Year2008",2584.590088,2.97,0.93222,1.369,64.4013,13.7,752,525.643,1.42,0.966,4.5,49.967,1.392
"571","FW08KS057",38.23225243,-100.0290686,"9","Year2008",2299.73999,8.18,0,0.746,116.2363,12.2,536,821.616,0.374,0.334,1.902,67.066,0.842
"572","FW08KS058",39.1062615,-99.23252823,"9","Year2008",3177.840088,6.43,0,1.391,257.075,11.5,595,774.772,0.144,1.119,3.309,52.512,1.118
"573","FW08KS059",38.58271476,-95.5120147,"9","Year2008",1460.199951,3.98,0.36269,0.899,142.7669,12.6,933,352.082,6.479,0.658,4.737,28.037,1.391
"574","FW08KS060",38.58737345,-97.64250018,"9","Year2008",20593.80078,4.12,0.37484,0.901,123.3506,12.8,776,869.263,0.423,0.454,3.722,51.293,1.075
"575","FW08KS061",37.92158603,-101.2713446,"9","Year2008",66066.5,3.96,1.44329,1.779,25.695,12.2,439,1797.28,14.577,1.192,2.674,8.049,0.724
"576","FW08KS063",38.21361387,-94.95034733,"9","Year2008",316.4670105,4.91,0.17895,0.635,92.0013,13,1028,308.454,14.695,0.994,3.742,73.347,1.262
"577","FW08KY013",37.78139705,-88.03819192,"8","Year2008",364731,2.96,0.87526,1.432,67.7175,13.5,1139,332.949,47.735,0.549,9.549,38.231,1.684
"578","FW08KY013",37.78139705,-88.03819192,"8","Year2008",364731,2.96,0.87526,1.432,67.7175,13.5,1139,332.949,47.735,0.549,9.549,38.231,1.684
"579","FW08KY013",37.78139705,-88.03819192,"8","Year2008",364731,2.81,0.8936,1.454,74.1569,13.5,1139,NA,NA,NA,NA,NA,NA
"580","FW08KY013",37.78139705,-88.03819192,"8","Year2008",364731,2.81,0.8936,1.454,74.1569,13.5,1139,NA,NA,NA,NA,NA,NA
"581","FW08KY014",37.62116544,-83.49986266,"8","Year2008",3124.77002,2.41,0.31293,0.589,24.7456,12.7,1196,404.202,75.583,0.004,6.864,0.927,1.516
"582","FW08KY016",37.98149999,-86.03398899,"8","Year2008",244578,2.92,0.93734,1.562,72.3063,13,1181,395.557,58.011,0.451,10.05,27.134,1.694
"583","FW08KY017",37.47039557,-88.09642161,"8","Year2008",370822,2.89,0.47993,1.111,63.175,13.7,1212,329.722,47.603,0.584,9.485,38.394,1.677
"584","FW08KY019",37.29115676,-85.59288982,"8","Year2008",3109.790039,2.43,0.28405,0.559,31.7113,13.6,1318,NA,NA,NA,NA,NA,NA
"585","FW08KY019",37.29115676,-85.59288982,"8","Year2008",3109.790039,2.43,0.28405,0.559,31.7113,13.6,1318,NA,NA,NA,NA,NA,NA
"586","FW08KY019",37.29115676,-85.59288982,"8","Year2008",3109.790039,2.16,0.50507,0.72,44.0638,13.6,1318,275.839,51.985,0.011,5.149,38.112,1.666
"587","FW08KY019",37.29115676,-85.59288982,"8","Year2008",3109.790039,2.16,0.50507,0.72,44.0638,13.6,1318,275.839,51.985,0.011,5.149,38.112,1.666
"588","FW08KY020",37.19110175,-86.95017108,"8","Year2008",3.735899925,2.36,0.01313,0.139,30.0138,13.5,1240,143.924,76.728,0.12,4.047,17.514,1.25
"589","FW08KY021",37.97942837,-82.67111994,"8","Year2008",5906.660156,2.44,0.39779,0.653,36.5419,12.1,1131,449.05,78.934,0.003,6.639,3.347,1.588
"590","FW08KY022",38.6201425,-85.4185368,"8","Year2008",67.97899628,1.35,0.18988,0.328,40.78,12.4,1145,241.378,61.867,0.028,4.414,30.821,1.435
"591","FW08KY023",37.23006865,-84.24396276,"8","Year2008",1344.920044,1.91,0.23852,0.343,29.7381,12.7,1265,363.725,62.394,0.001,8.22,17.648,1.785
"592","FW08KY024",36.88908392,-86.37635674,"8","Year2008",1146.180054,1.35,1.76709,1.817,58.6731,13.9,1277,225.369,37.833,0.007,7.27,51.914,1.822
"593","FW08KY025",37.20463176,-83.52786081,"8","Year2008",0.471599996,1.38,0.0117,0.039,23.6825,12.4,1245,437.743,98.664,0,0,0,2.992
"594","FW08KY026",38.4977174,-82.83834471,"8","Year2008",1397.77002,2.12,0.36191,0.517,24.2406,11.9,1075,262.092,74.694,0.001,6.691,11.907,1.548
"595","FW08KY029",37.22122497,-88.92693104,"8","Year2008",526345,2.49,0.47442,0.894,84.91,13.9,1207,346.901,50.596,0.738,9.117,34.301,1.672
"596","FW08KY031",37.76928043,-85.71628673,"8","Year2008",3375.719971,3.11,0.09226,0.455,78.9344,13.2,1234,238.78,54.379,0.248,4.48,36.646,1.305
"597","FW08KY032",37.8250353,-87.15127199,"8","Year2008",251635,2.81,0.90343,1.311,45.035,13.4,1164,389.824,57.842,0.452,9.92,27.403,1.687
"598","FW08KY033",36.57922622,-89.1879406,"8","Year2008",830.1480103,2.63,0.12241,0.695,350.6875,14.4,1274,128.991,21.245,8.077,4.831,64.473,1.305
"599","FW08KY034",38.49513387,-84.16161647,"8","Year2008",4964.240234,2.51,0.36,0.603,80.5213,11.9,1135,290.239,62.726,0.031,5.283,26.142,1.37
"600","FW08KY035",36.93503469,-85.77766403,"8","Year2008",36.40999985,1.96,0.39101,0.659,25.2281,13.6,1342,280.895,44.932,0,4.819,45.671,1.53
"601","FW08KY037",37.67069267,-82.72982994,"8","Year2008",4226.259766,2.15,0.37,0.821,239.2588,12.3,1137,505.033,78.759,0.003,6.87,3.219,1.641
"602","FW08KY039",36.86834591,-84.5781453,"8","Year2008",3301.689941,1.59,0.01387,0.161,3.8075,13,1289,460.071,79.74,0.133,5.65,4.435,1.168
"603","FW08KY040",37.1163061,-86.44297596,"8","Year2008",16.01110077,1.51,1.64496,1.863,61.2313,13.7,1277,191.831,31.201,0,6.464,60.969,1.446
"604","FW08KY041",37.29617565,-83.06281453,"8","Year2008",2.825680017,1.96,0.24096,0.365,15.7863,12.4,1188,435.639,59.981,0,6.241,0,1.635
"605","FW08KY042",38.36231268,-82.93243281,"8","Year2008",1164.660034,2.37,1.04537,1.308,72.3281,11.9,1075,269.124,75.35,0.002,6.75,11.403,1.578
"606","FW08KY050",38.60544714,-83.95592787,"8","Year2008",13.17490005,2.25,0.92069,1.2,195.2213,11.7,1131,271.394,56.075,0,5.054,32.614,1.195
"607","FW08KY056",37.25037328,-87.24122678,"8","Year2008",5.252140045,2.1,0.08129,0.188,26.344,13.8,1229,162.092,71.921,0.171,5.5,7.881,2.948
"608","FW08KY062",38.82072601,-84.70513918,"8","Year2008",5.593770027,3.33,0.26979,0.549,161.6456,12.1,1099,249.165,40.055,0,7.378,49.516,1.874
"609","FW08KY072",37.68388625,-87.89627852,"8","Year2008",10.98419952,7.37,1.32158,2.052,244.8594,13.6,1144,138.293,25.595,0,7.162,66.875,2.18
"610","FW08KY097",36.53474414,-89.46723264,"8","Year2008",2360460,4.335810939,NA,4.358,240,14.4,1258,699.589,20.544,2.55,5.532,37.698,1.312
"611","FW08KY209",36.60870194,-89.3058315,"8","Year2008",2360330,3.790082964,NA,3.537,162,14.4,1274,699.621,20.545,2.548,5.532,37.699,1.312
"612","FW08LA004",30.95177254,-90.68989084,"8","Year2008",1.847149968,0.85,0.18663,0.302,46.7425,18.6,1641,77.326,14.968,29.547,5.168,13.311,1.219
"613","FW08LA011",32.97480157,-92.07643968,"8","Year2008",28212.40039,4.06,0.05639,0.491,71.5725,17.4,1366,119.437,64.231,12.805,5.362,7.231,1.361
"614","FW08LA011",32.97480157,-92.07643968,"8","Year2008",28212.40039,4.06,0.05639,0.491,71.5725,17.4,1366,119.437,64.231,12.805,5.362,7.231,1.361
"615","FW08LA011",32.97480157,-92.07643968,"8","Year2008",28212.40039,3.64,0.04332,0.489,43.9669,17.4,1366,NA,NA,NA,NA,NA,NA
"616","FW08LA011",32.97480157,-92.07643968,"8","Year2008",28212.40039,3.64,0.04332,0.489,43.9669,17.4,1366,NA,NA,NA,NA,NA,NA
"617","FW08LA013",31.62650075,-92.90920869,"8","Year2008",170810,5.4,0,0.596,61.4813,18.8,1393,414.168,21.821,2.945,5.07,24.484,1.022
"618","FW08LA014",32.78464844,-91.95736625,"8","Year2008",4211.310059,6.32,0.00043,0.689,191.6475,17.7,1367,53.318,34.66,16.782,5.757,27.668,1.186
"619","FW08LA017",31.55118978,-91.80544961,"8","Year2008",62826,5.6,0.10724,1.466,176.5356,18.6,1479,76.639,46.913,14.962,5.609,22.209,1.285
"620","FW08LA018",32.06617568,-93.41412498,"8","Year2008",163859,5.34,0.05359,0.778,80.6513,17.9,1282,429.066,20.685,2.507,4.983,25.001,1.012
"621","FW08LA022",32.54805881,-93.78099558,"8","Year2008",8481.879883,9.12,0.00054,0.786,58.1038,18.2,1200,95.189,46.291,11.271,7.009,19.868,1.366
"622","FW08LA023",29.89733426,-90.6833368,"8","Year2008",479.1740112,14.23,0.00102,0.935,260.3325,19.9,1618,1.948,0.009,61.199,6.617,31.693,0.875
"623","FW08LA028",32.65297192,-91.14072265,"8","Year2008",2898910,3.352596262,NA,2.848,225,17.8,1415,702.655,20.425,2.531,5.424,36.889,1.296
"624","FW08LA029",31.37415976,-92.56085279,"8","Year2008",173270,5.38,0.01574,0.493,65.8263,18.9,1418,409.055,22.253,3.083,5.068,24.311,1.023
"625","FW08LA030",32.71237847,-92.27881681,"8","Year2008",4213.47998,5.81,0,0.526,40.455,17.6,1336,65.324,62.069,15.175,6.023,3.9,1.161
"626","FW08LA032",31.74330427,-91.57782175,"8","Year2008",6469.109863,5.99,0,0.619,134.5119,18.6,1456,27.862,2.083,16.908,4.501,74.329,1.008
"627","FW08LA033",31.39441273,-91.80343205,"8","Year2008",62953.69922,5.38,0.12744,0.686,136.8125,18.7,1498,76.513,46.829,14.97,5.605,22.292,1.285
"628","FW08LA035",29.89213212,-91.44464194,"8","Year2008",3195990,5.07,1.12961,1.578,233.7863,19.8,1561,661.933,21.216,3.069,5.405,35.918,1.283
"629","FW08LA036",30.75505892,-91.59551885,"8","Year2008",2952750,2.900532946,NA,0.891679,211,19.2,1529,691.085,20.632,2.718,5.423,36.9,1.293
"630","FW08LA037",31.81473201,-93.0575415,"8","Year2008",167074,5.25,0.03732,0.599,65.1513,18.5,1356,421.944,21.038,2.741,5.071,24.881,1.019
"631","FW08LA039",30.32847825,-90.84382133,"8","Year2008",4208.339844,4.19,0.1,0.739,211.5625,19.6,1562,NA,NA,NA,NA,NA,NA
"632","FW08LA039",30.32847825,-90.84382133,"8","Year2008",4208.339844,4.19,0.1,0.739,211.5625,19.6,1562,NA,NA,NA,NA,NA,NA
"633","FW08LA039",30.32847825,-90.84382133,"8","Year2008",4208.339844,1.92,0,0.211,57.0063,19.6,1562,64.117,25.925,25.981,13.925,17.006,1.942
"634","FW08LA039",30.32847825,-90.84382133,"8","Year2008",4208.339844,1.92,0,0.211,57.0063,19.6,1562,64.117,25.925,25.981,13.925,17.006,1.942
"635","FW08LA040",31.01756822,-91.69033989,"8","Year2008",2952430,4.65,0.05124,0.834,68.9475,18.9,1521,691.162,20.632,2.713,5.423,36.903,1.293
"636","FW08LA044",32.31668097,-90.90508327,"8","Year2008",2934120,3.416609497,NA,2.461,206,18.1,1410,695.003,20.443,2.649,5.427,37.032,1.295
"637","FW08LA045",31.33361524,-92.5020397,"8","Year2008",174.2380066,7.09,0.06571,0.709,422.0131,18.9,1418,30.222,9.37,13.393,15.002,50.117,1.84
"638","FW08LA049",31.21478174,-92.02428417,"8","Year2008",174876,6.29,0.00047,0.541,84.6581,18.8,1489,405.657,22.443,3.191,5.099,24.244,1.026
"639","FW08LA050",32.56400043,-93.32062099,"8","Year2008",2821.850098,11.97,0.19265,0.809,145.8494,17.6,1307,83.591,67.807,8.059,6.24,5.38,1.174
"640","FW08LA051",30.20902194,-91.04196613,"8","Year2008",2954660,2.844108068,NA,1.305,137,19.5,1533,690.667,20.642,2.733,5.423,36.886,1.293
"641","FW08LA052",30.7423109,-91.36272658,"8","Year2008",2953400,3.074180724,NA,0.947081,147,19.1,1543,690.944,20.638,2.722,5.423,36.894,1.293
"642","FW08LA059",29.90427145,-92.11600337,"9","Year2008",4205.279785,7.35,0.54669,1.279,284.685,19.7,1533,19.91,10.014,26.887,12.312,42.653,2.016
"643","FW08LA062",31.36398535,-93.19880578,"8","Year2008",2.063699961,1.67,0.00411,0.093,20.0213,18.3,1386,107.66,69.297,1.396,1.483,0,0.71
"644","FW08LA067",30.04689637,-90.54004855,"8","Year2008",2954750,2.767230736,NA,0.772947,134,19.8,1589,690.646,20.641,2.733,5.423,36.884,1.293
"645","FW08LA068",30.50565718,-91.2590743,"8","Year2008",2954360,3.28,0.94525,1.358,177.6713,19.3,1530,690.735,20.644,2.73,5.421,36.888,1.293
"646","FW08LA070",29.93990765,-90.00286731,"8","Year2008",2955290,2.815423198,NA,0.444766,165,20.3,1553,690.519,20.637,2.735,5.433,36.878,1.295
"647","FW08LA072",30.60083047,-91.87677331,"8","Year2008",1305.189941,7.91,0.22691,1.264,196.8063,19.3,1512,15.236,0.18,29.098,6.529,62.784,1.24
"648","FW08LA073",32.52847604,-92.0439915,"8","Year2008",4424.359863,7.86,0,1.089,73.9463,18,1324,52.048,34.633,16.939,6.279,27.355,1.241
"649","FW08LA079",30.1777723,-93.05098255,"9","Year2008",1.957010031,13.41,0.00748,4.047,438.6944,19.7,1443,NA,NA,NA,NA,NA,NA
"650","FW08LA088",31.53963774,-91.45260521,"8","Year2008",2947590,3.565990295,NA,0.95664,202,18.7,1498,692.182,20.573,2.694,5.425,36.951,1.294
"651","FW08LA092",32.49502418,-91.51857854,"8","Year2008",9.6563797,10.28,0.00172,0.789,307.1638,18,1391,27.494,1.649,30.989,4.156,63.16,1.362
"652","FW08LA094",32.57591631,-92.06192231,"8","Year2008",4387.72998,10.47,0.00099,0.849,121.9875,18,1324,52.296,34.751,16.829,6.072,27.48,1.224
"653","FW08LA096",31.63061631,-91.39924704,"8","Year2008",2947510,3.336377805,NA,0.700684,160,18.7,1498,692.202,20.573,2.693,5.425,36.953,1.294
"654","FW08LA097",31.39846907,-91.7640648,"8","Year2008",12.36159992,12.18,0.11826,13.419,185.1081,18.7,1498,15.232,2.221,2.235,2.847,92.697,0.419
"655","FW08LA099",29.81875411,-91.5919155,"8","Year2008",38.61449814,12.44,0.00151,0.848,149.1331,19.9,1575,NA,NA,NA,NA,NA,NA
"656","FW08LA100",30.99722189,-91.64244891,"8","Year2008",2952410,3.458598786,NA,0.847168,203,19,1537,691.167,20.632,2.713,5.423,36.903,1.293
"657","FW08LA102",32.37390452,-93.89218832,"8","Year2008",107.9639969,6.54,0.07806,0.462,130.8269,18.2,1224,85.775,61.982,7.016,4.789,8.436,0.896
"658","FW08LA104",31.08965612,-91.59474249,"8","Year2008",2952280,3.409940698,NA,0.88141,130,18.9,1538,691.198,20.632,2.711,5.423,36.904,1.293
"659","FW08LA108",32.40963893,-90.99592109,"8","Year2008",2899110,4.368774238,NA,1.363,234,18.1,1392,702.606,20.424,2.536,5.424,36.888,1.296
"660","FW08LA131",30.04065806,-90.63434836,"8","Year2008",2954730,2.788091449,NA,0.915553,149,19.8,1589,690.649,20.641,2.733,5.423,36.884,1.293
"661","FW08LA134",29.87322413,-89.9043211,"8","Year2008",2955410,3.174980724,NA,0.339937,151,20.2,1541,690.49,20.636,2.736,5.435,36.876,1.295
"662","FW08LA140",30.13140152,-93.61952498,"9","Year2008",3.549020052,12.17,0.05359,1.5,980.175,19.7,1459,NA,NA,NA,NA,NA,NA
"663","FW08LA151",29.98096797,-90.82046885,"8","Year2008",2954710,2.882413846,NA,0.379772,149,19.9,1618,690.655,20.642,2.733,5.423,36.885,1.293
"664","FW08LA152",31.43106364,-91.50559281,"8","Year2008",2947850,3.309246402,NA,0.739139,189,18.8,1506,692.126,20.574,2.695,5.426,36.949,1.294
"665","FW08LA160",31.87921876,-91.54333116,"8","Year2008",4589.220215,6.01,0,0.779,202.38,18.5,1429,30.111,1.598,14.504,4.596,77.138,1.009
"666","FW08LA164",30.97787466,-91.47948203,"8","Year2008",50.04940033,1.8,0.0135,0.128,125.755,18.8,1561,91.383,70.214,2.267,4.057,5.282,1.002
"667","FW08LA167",30.15320111,-90.99949319,"8","Year2008",2954660,2.866756438,NA,0.337577,13,19.8,1562,690.667,20.642,2.733,5.423,36.886,1.293
"668","FW08LA173",31.35300743,-92.71816774,"8","Year2008",137.6719971,6.83,0.03153,0.323,133.1088,19,1421,48.61,63.653,10.055,2.782,1.371,0.824
"669","FW08LA180",30.57489446,-91.31236902,"8","Year2008",2954290,3.27,0.93843,1.335,173.8375,19.3,1530,690.752,20.644,2.728,5.421,36.888,1.293
"670","FW08LA182",29.83838108,-89.98984593,"8","Year2008",2955410,2.863426181,NA,0.349357,154,20.2,1541,690.49,20.636,2.736,5.435,36.876,1.295
"671","FW08LA195",29.99781702,-90.46133422,"8","Year2008",2954760,2.810522047,NA,0.857291,128,20.1,1589,690.643,20.641,2.734,5.423,36.884,1.293
"672","FW08LA198",29.9210508,-89.92790872,"8","Year2008",2955410,2.937539668,NA,0.468133,162,20.2,1541,690.49,20.636,2.736,5.435,36.876,1.295
"673","FW08LA227",30.26707579,-91.12171416,"8","Year2008",2954630,2.931407394,NA,1.114,151,19.5,1533,690.674,20.642,2.733,5.423,36.886,1.293
"674","FW08LA228",30.8366564,-91.52369148,"8","Year2008",2952710,2.752026052,NA,0.779043,164,19,1537,691.094,20.632,2.717,5.423,36.901,1.293
"675","FW08MA002",41.96178808,-70.91978479,"8","Year2008",482.0509949,7.65,1.53722,2.323,94.7631,9.9,1205,30.869,29.24,21.871,36.373,8.389,4.402
"676","FW08MA002",41.96178808,-70.91978479,"8","Year2008",482.0509949,7.65,1.53722,2.323,94.7631,9.9,1205,30.869,29.24,21.871,36.373,8.389,4.402
"677","FW08MA002",41.96178808,-70.91978479,"8","Year2008",482.0509949,12.09,1.1527,1.789,64.9613,9.9,1205,NA,NA,NA,NA,NA,NA
"678","FW08MA002",41.96178808,-70.91978479,"8","Year2008",482.0509949,12.09,1.1527,1.789,64.9613,9.9,1205,NA,NA,NA,NA,NA,NA
"679","FW08MA003",42.70063786,-71.21797941,"8","Year2008",12045.90039,3.56,0.38818,0.833,65.0688,8.8,1095,248.73,69.529,5.236,13.673,4.714,2.441
"680","FW08MA004",42.63170751,-72.12900344,"5","Year2008",487.0589905,6.59,0.67241,1.296,28.645,6.9,1121,NA,NA,NA,NA,NA,NA
"681","FW08MA004",42.63170751,-72.12900344,"5","Year2008",487.0589905,6.59,0.67241,1.296,28.645,6.9,1121,NA,NA,NA,NA,NA,NA
"682","FW08MA004",42.63170751,-72.12900344,"5","Year2008",487.0589905,5.8,1.18162,1.982,53.1263,6.9,1121,327.446,68.078,11.348,11.111,4.044,2.304
"683","FW08MA004",42.63170751,-72.12900344,"5","Year2008",487.0589905,5.8,1.18162,1.982,53.1263,6.9,1121,327.446,68.078,11.348,11.111,4.044,2.304
"684","FW08MA005",42.57836393,-72.56957845,"8","Year2008",20367.30078,3.95,0.13843,0.333,20.5913,7.8,1135,419.174,80.819,2.562,5.19,6.079,1.428
"685","FW08MA006",41.87493747,-71.09397285,"8","Year2008",946.9069824,7.31,1.26124,1.964,174.1369,9.8,1187,29.12,34.166,19.962,32.05,7.457,4.04
"686","FW08MA007",42.81380731,-71.00100494,"8","Year2008",12706.7002,3.29,0.53615,1.193,90.3075,9,1119,238.352,67.653,5.383,15.516,4.702,2.623
"687","FW08MA009",42.45575178,-72.88496892,"5","Year2008",151.9660034,2.51,0.07785,0.214,7.2531,6.8,1214,NA,NA,NA,NA,NA,NA
"688","FW08MA009",42.45575178,-72.88496892,"5","Year2008",151.9660034,2.51,0.07785,0.214,7.2531,6.8,1214,NA,NA,NA,NA,NA,NA
"689","FW08MA009",42.45575178,-72.88496892,"5","Year2008",151.9660034,3.63,0.0703,0.181,10.2788,6.8,1214,520.145,83.826,2.26,5.858,6.775,1.574
"690","FW08MA009",42.45575178,-72.88496892,"5","Year2008",151.9660034,3.63,0.0703,0.181,10.2788,6.8,1214,520.145,83.826,2.26,5.858,6.775,1.574
"691","FW08MA012",42.09010346,-73.32843393,"5","Year2008",1209.030029,3.47,0.58341,0.893,145.0519,7.3,1189,389.71,69.213,6.66,9.833,10.105,1.831
"692","FW08MA013",42.15883734,-72.5766574,"8","Year2008",1854.51001,3.95,0.24807,0.588,32.6225,9.4,1120,229.429,64.778,9.958,9.962,6.643,1.89
"693","FW08MA015",42.70916882,-72.45897465,"8","Year2008",2.053800106,2.63,2.91308,3.181,96.3188,7.2,1121,109.844,65.337,2.06,8.589,22.173,1.728
"694","FW08MA016",42.4251305,-73.08239903,"5","Year2008",13.65009975,2.94,0.12601,0.202,12.0138,6.4,1208,536.625,72.116,3.805,8.039,4.148,2.308
"695","FW08MA017",42.20402467,-72.59054238,"8","Year2008",21507.69922,3.15,0.24388,0.467,18.5313,8.7,1114,405.013,79.823,2.807,5.659,6.423,1.475
"696","FW08MA018",41.95755558,-70.93360953,"8","Year2008",482.0509949,6.86,1.63081,2.05,87.9894,9.9,1205,30.869,29.24,21.871,36.373,8.389,4.402
"697","FW08MA019",42.71030134,-71.13398556,"8","Year2008",12481.40039,3.63,0.43143,0.901,58.1375,9,1119,241.927,68.176,5.344,15.096,4.651,2.58
"698","FW08MA020",42.54418728,-72.56276074,"8","Year2008",20367.30078,3.6,0.18534,0.391,17.1325,7.8,1135,419.174,80.819,2.562,5.19,6.079,1.428
"699","FW08MA021",42.60191436,-72.57133268,"8","Year2008",18624.69922,3.98,0.12573,0.334,22.0863,7.8,1135,414.345,80.577,2.581,5.172,6.076,1.429
"700","FW08MA023",42.76553136,-71.09351373,"8","Year2008",12551.2002,3.81,0.53173,0.939,54.2975,9,1119,240.818,67.977,5.342,15.276,4.656,2.597
"701","FW08MA026",42.10801297,-70.97865243,"8","Year2008",11.80220032,9.13,0.05874,0.844,85.0213,9.8,1198,53.923,48.899,14.562,31.708,0.251,3.679
"702","FW08MD006",38.68907843,-75.76990034,"8","Year2008",399.7359924,2.57,1.83588,2.241,34.658,13,1108,NA,NA,NA,NA,NA,NA
"703","FW08MD006",38.68907843,-75.76990034,"8","Year2008",399.7359924,2.57,1.83588,2.241,34.658,13,1108,NA,NA,NA,NA,NA,NA
"704","FW08MD006",38.68907843,-75.76990034,"8","Year2008",399.7359924,4.79,1.56395,2.024,74.915,13,1108,14.72,20.437,17.219,5.487,54.26,1.442
"705","FW08MD006",38.68907843,-75.76990034,"8","Year2008",399.7359924,4.79,1.56395,2.024,74.915,13,1108,14.72,20.437,17.219,5.487,54.26,1.442
"706","FW08MD007",39.59669875,-79.08394335,"8","Year2008",95.03549957,1.82,0.45337,0.621,10.3513,8.3,1085,765.107,80.26,0.075,4.476,14.252,1.213
"707","FW08MD008",39.06636774,-77.38957313,"8","Year2008",29091.30078,2.61,1.09439,1.434,49.0113,12.4,1001,396.259,59.331,0.357,9.019,30.046,1.765
"708","FW08MD009",39.59856332,-77.88460578,"8","Year2008",12788.7998,3.17,0.55653,0.834,30.42,11.3,968,500.241,79.009,0.078,5.195,14.531,1.271
"709","FW08MD010",38.90393408,-77.05623395,"8","Year2008",198.1380005,2.91,0.75144,0.947,70.6044,12.9,1035,NA,NA,NA,NA,NA,NA
"710","FW08MD010",38.90393408,-77.05623395,"8","Year2008",198.1380005,2.91,0.75144,0.947,70.6044,12.9,1035,NA,NA,NA,NA,NA,NA
"711","FW08MD010",38.90393408,-77.05623395,"8","Year2008",198.1380005,4.56,1.03321,1.348,98.8038,12.9,1035,108.55,21.503,1.595,69.482,6.172,10.617
"712","FW08MD010",38.90393408,-77.05623395,"8","Year2008",198.1380005,4.56,1.03321,1.348,98.8038,12.9,1035,108.55,21.503,1.595,69.482,6.172,10.617
"713","FW08MD011",39.67335484,-78.65539148,"8","Year2008",1.725299954,2.48,0.62389,0.908,14.8025,9.9,963,481.933,95.984,0,0.469,3.547,0
"714","FW08MD012",39.17989196,-77.50736361,"8","Year2008",27698.40039,2.55,0.96129,1.307,47.3175,12,995,408.454,60.585,0.3,8.587,29.319,1.717
"715","FW08MD013",39.69016591,-76.9302438,"8","Year2008",1.160099983,1.08,2.31538,2.32,3.32,11,1065,295.575,45.617,0,3.026,48.409,1.099
"716","FW08MD014",38.65172081,-77.12457501,"8","Year2008",31590.19922,2.96,0.82295,1.387,91.5913,13.2,1017,371.455,56.696,0.621,12.91,28.25,2.301
"717","FW08MD015",39.62420563,-78.42926826,"8","Year2008",8162.609863,2.38,0.40591,0.628,33.1831,10.6,932,580.487,80.137,0.09,4.887,13.457,1.132
"718","FW08MD015",39.62420563,-78.42926826,"8","Year2008",8162.609863,2.38,0.40591,0.628,33.1831,10.6,932,580.487,80.137,0.09,4.887,13.457,1.132
"719","FW08MD015",39.62420563,-78.42926826,"8","Year2008",8162.609863,2.71,0.25168,0.446,32.1888,10.6,932,NA,NA,NA,NA,NA,NA
